Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2021-01-04,125.63249969482422,129.70989788960378,123.05985224509121,129.62252856286995,143301900
2021-01-05,127.185791015625,127.89449286005866,124.68109986637585,125.12767890789046,97664900
2021-01-06,122.9045181274414,127.22462614380248,122.69093878823239,123.99182776037331,155088000
2021-01-07,127.09844207763672,127.78772368823323,124.12776587920938,124.61317087407357,109578200
2021-01-08,128.1954345703125,128.75850602101508,126.42855365810287,128.56433221406948,105158200
2021-01-11,125.21504974365234,126.37031583011212,124.7490651654895,125.41892632912634,100384500
2021-01-12,125.0403060913086,125.90432622691371,123.15693269578279,124.74906018656239,91951100
2021-01-13,127.06930541992188,127.61295658608566,124.73936761825328,125.00147562190729,88636800
2021-01-14,125.14708709716797,127.1760758978846,125.00145674818756,126.9819169126251,90221800
2021-01-15,123.42876434326172,126.41886047356746,123.29285155612885,125.02089191255358,111598500
2021-01-19,124.09861755371094,124.95293491139884,123.23459743091543,124.05007410140924,90757300
2021-01-20,128.17599487304688,128.62257382285637,124.79758149233558,124.90437114467832,104319500
2021-01-21,132.874755859375,135.5930267381697,129.69050034270776,129.8943769543058,120150900
2021-01-22,135.01052856445312,135.76775903778582,131.07874583699044,132.30196087543968,114459400
2021-01-25,138.7481231689453,140.85477848015867,132.55435242559187,138.89375351472623,157611700
2021-01-26,138.9811553955078,140.087878141181,137.24339729703607,139.40831414179996,98390600
2021-01-27,137.9132537841797,140.0878733207545,136.31142335408737,139.24325862387312,140843800
2021-01-28,133.08834838867188,137.84532659995853,132.70973305547886,135.4474245519407,142621100
2021-01-29,128.10806274414062,132.7485322226158,126.40914566020653,131.86509178375854,177523800
2021-02-01,130.22442626953125,131.42823575703017,127.1081202867018,129.84581103922318,106239800
2021-02-02,131.049560546875,132.33102119626125,130.68064825061788,131.7679499911123,83305400
2021-02-03,130.03025817871094,131.80684177003687,129.70988918879502,131.7971241921303,89880900
2021-02-04,133.37957763671875,133.38928040334213,130.66130683037125,132.32139835278772,84183100
2021-02-05,132.96633911132812,133.60803459447885,132.09131060559002,133.53998407473009,75693800
2021-02-08,133.11221313476562,133.16082913582426,131.1774090425887,132.25661898979965,71297200
2021-02-09,132.2371368408203,134.05527394815869,132.08158644572234,132.83021630146237,76774200
2021-02-10,131.6343536376953,133.18997643259982,130.6718103643523,132.6941140635208,73046600
2021-02-11,131.38157653808594,132.60661952451218,130.05930155973675,132.13020650092022,64280000
2021-02-12,131.61488342285156,131.7704486448014,129.98149309892653,130.62318851283254,60145100
2021-02-16,129.49539184570312,132.23715902657875,129.1064787039169,131.7315941955358,80576300
2021-02-17,127.21055603027344,128.55228022303262,125.87856393692216,127.60918638254499,97918500
2021-02-18,126.11190795898438,126.393856958418,123.87570598415513,125.61604564080127,96856700
2021-02-19,126.26747131347656,127.08418144033098,125.22716025236211,126.62721780066286,87668800
2021-02-22,122.50482177734375,126.1216319880877,122.11591609767342,124.45906002205308,103916400
2021-02-23,122.36872100830078,123.19514104352085,115.10593306236852,120.32697521018065,158273000
2021-02-24,121.87284851074219,122.07702231944482,118.83940058972168,121.47422557501572,111039900
2021-02-25,117.63379669189453,122.9520628532438,117.19628243074794,121.22144033722896,148199500
2021-02-26,117.89630126953125,121.3867126364465,117.83796059992733,119.18940199791072,164560400
2021-03-01,124.24518585205078,124.38130174579385,119.38388273905605,120.31725204661986,116307900
2021-03-02,121.64923095703125,125.14936711599789,121.5422817134225,124.84796874824156,102260900
2021-03-03,118.67411804199219,122.22287046374831,118.46021953832745,121.34783450228308,112966300
2021-03-04,116.79766082763672,120.17140622773192,115.32955269233915,118.37272563793533,178155000
2021-03-05,118.0518569946289,118.55743656088569,114.30865590625393,117.62406745905575,153766600
2021-03-08,113.1322250366211,117.64351287063639,112.98638448752729,117.57545493676041,154376600
2021-03-09,117.73103332519531,118.67412730069942,115.49483838005335,115.72817884872909,129525800
2021-03-10,116.65184020996094,118.78108606530098,116.13653581616963,118.31440509060741,111943300
2021-03-11,118.57687377929688,119.79219924122525,117.89629448772017,119.14078657389355,103026500
2021-03-12,117.67269897460938,117.80881486489184,115.85457640393945,117.06017746833828,88105100
2021-03-15,120.55059051513672,120.56031519817381,117.07962044686742,118.04216378802697,92403800
2021-03-16,122.08676147460938,123.6909929248944,121.26034146014726,122.21315268038276,115227900
2021-03-17,121.2992172241211,122.36870224795845,118.9463412703685,120.60891318675553,111932600
2021-03-18,117.18656158447266,119.7630534964986,116.98238776140393,119.47137236768086,121229700
2021-03-19,116.66153717041016,118.0615946863235,116.36013878430732,116.5740372845451,185549500
2021-03-22,119.96721649169922,120.43390477213393,116.92404394954326,116.99210188442348,111912300
2021-03-23,119.14080047607422,120.79364033005854,118.75189479932533,119.90888714776963,95467100
2021-03-24,116.75877380371094,119.49083117848545,116.73933185520713,119.41304854895056,88530500
2021-03-25,117.24488067626953,118.28520644839449,115.69899016650163,116.22401168427893,98844700
2021-03-26,117.84769439697266,118.11020888610055,115.62121696029041,117.0115497729694,94071200
2021-03-29,118.022705078125,119.17969748186921,117.381016985914,118.275494892758,80819200
2021-03-30,116.57402801513672,117.06015823420087,115.56287626935224,116.77820181701264,85671900
2021-03-31,118.76162719726562,120.0936193981419,117.78936665110342,118.27549692418452,118323800
2021-04-01,119.58805847167969,120.73532632120784,119.09220346933651,120.22975405327205,75089100
2021-04-05,122.4075927734375,122.66038256872103,119.65609390540438,120.43390523654203,88651200
2021-04-06,122.70899963378906,123.60347753407522,122.16453611496429,122.99095607539735,80171300
2021-04-07,124.35210418701172,124.37154613081405,121.66866345905004,122.33952549547996,83466700
2021-04-08,126.74388885498047,126.77305548532095,124.9549329616751,125.37299788690146,88844600
2021-04-09,129.31065368652344,129.34953758105655,125.87857511762488,126.19942288071834,106686700
2021-04-12,127.59947204589844,129.16481202818863,127.0063925535893,128.84396428623276,91420000
2021-04-13,130.7009735107422,130.9246041100814,128.27032223067465,128.76618458654,91266500
2021-04-14,128.36753845214844,131.255153005102,128.00780685424039,131.19681975522676,87222800
2021-04-15,130.76910400390625,131.25523450206202,129.93295895365728,130.1079736474666,89347100
2021-04-16,130.4384765625,130.9343240931431,129.58288254678484,130.57459244358938,84922400
2021-04-19,131.099609375,131.71213827061115,129.6412185458448,129.80650105955348,94264200
2021-04-20,129.41758728027344,131.77045575605666,128.15364574587304,131.27460827428777,94812300
2021-04-21,129.79678344726562,130.03984858480732,127.65781320400242,128.68840701349623,68847100
2021-04-22,128.28004455566406,130.42873181562496,127.7647477103965,129.34952213608938,84566500
2021-04-23,130.59408569335938,131.37188251208963,128.4939986775316,128.4939986775316,78657500
2021-04-26,130.98292541503906,131.31349039844014,129.85509976347652,131.08987465502372,66905100
2021-04-27,130.6620635986328,131.65377327736235,130.38983189631728,131.2648602486865,66015800
2021-04-28,129.87452697753906,131.27458412202594,129.38839684878747,130.58427281157245,107760100
2021-04-29,129.7772979736328,133.2677236525645,128.77587107243528,132.68436155056918,151101000
2021-04-30,127.8133773803711,129.8551156172827,127.4341963624076,128.1244930393449,109839500
2021-05-03,128.86337280273438,130.35094470080776,128.17307630207762,128.3772426558717,75135100
2021-05-04,124.30350494384766,127.84254003096058,123.18540387178189,127.55085891033158,137564700
2021-05-05,124.54656982421875,126.83137298490321,124.42017121810461,125.61604742001238,84000900
2021-05-06,126.1410903930664,126.15080765787947,123.60348232032891,124.34240242288911,78128300
2021-05-07,126.8130874633789,127.835683170004,126.10212100699981,127.43639054602403,78973300
2021-05-10,123.54072570800781,126.16054372317713,123.50176833952001,126.03394527871879,88071200
2021-05-11,122.6252670288086,122.97586852300613,119.56717642454035,120.2781354744355,126142800
2021-05-12,119.56717681884766,121.3883949923918,119.06074583190636,120.18074615402475,112172300
2021-05-13,121.70977020263672,122.85898653118865,121.0182936516952,121.32994515958939,105861300
2021-05-14,124.12506866455078,124.55359227820217,122.56681111085221,122.95637735686638,81918000
2021-05-17,122.97583770751953,123.61862305158954,121.90453623109345,123.5114921609112,74244600
2021-05-18,121.5929183959961,123.6770895961018,121.52474484946401,123.25830711587349,63342900
2021-05-19,121.43707275390625,121.66106832172552,119.65481225870738,119.94698879018051,92612000
2021-05-20,123.98872375488281,124.3880312073582,121.83637931031465,121.96299261493283,76857100
2021-05-21,122.15779113769531,124.66074485833978,121.94352929361253,124.48544038866837,79295400
2021-05-24,123.78421020507812,124.60230012567476,122.65447618088876,122.72264972174192,63092900
2021-05-25,123.58943176269531,124.9723924215316,123.02456103094238,124.48542900111524,72009500
2021-05-26,123.54072570800781,124.06663903705564,123.12194328471185,123.64785661375969,56575900
2021-05-27,122.01168823242188,124.31012103497811,121.816908814046,123.14142966400581,94625600
2021-05-28,121.35917663574219,122.51813430989525,121.30074429262824,122.29413127736017,71311100
2021-06-01,121.03778839111328,122.07987398745031,120.7066618606694,121.81692100329542,67637100
2021-06-02,121.79742431640625,121.97272876206887,120.81377861108228,121.03777419532105,59278900
2021-06-03,120.31707763671875,121.59289985456873,119.91777018909227,121.4273366140028,76229200
2021-06-04,122.60576629638672,122.86872666566839,120.61898516439692,120.83324696740925,75169300
2021-06-07,122.6155014038086,123.02454259085992,121.57341603849724,122.87845432966799,71057600
2021-06-08,123.4336166381836,125.10875405806458,122.91744441753424,123.29726953953507,74403800
2021-06-09,123.81341552734375,124.41724357225148,123.2193286818069,123.89133026159469,56877900
2021-06-10,122.82003784179688,124.84577650141729,122.65447459192099,123.70629386140669,71186400
2021-06-11,124.02767944335938,124.11533537847384,122.81028956380078,123.22907197958327,53522400
