Price,Close,High,Low,Open,Volume
Ticker,ABT,ABT,ABT,ABT,ABT
Date,,,,,
2021-01-04,97.86846923828125,98.89101524298619,96.20907488631926,98.24519527299506,6192000
2021-01-05,99.07939147949219,99.48303243626184,97.1419381543673,97.63526797707159,4322800
2021-01-06,98.87310028076172,99.59067285819646,97.40206178382975,97.72497183884597,5539600
2021-01-07,99.8328628540039,100.11989326524166,97.994069791067,98.917948713384,5568800
2021-01-08,100.11092376708984,100.95407861197721,98.97176687963416,100.16473983179502,4242200
2021-01-11,99.42023468017578,100.4427876314118,98.8730888183595,99.7521163213963,3177400
2021-01-12,97.62628936767578,99.31259869216628,97.17780401002932,99.13320044310161,5777100
2021-01-13,100.59527587890625,101.26800397415973,97.09708841491933,97.85054059679807,6047100
2021-01-14,99.10030364990234,100.55925278443749,98.83913336138544,100.15398570049881,4391000
2021-01-15,100.23504638671875,100.52323311964746,98.5149268860813,99.06428391930692,4480100
2021-01-19,101.37879180908203,101.88311690511274,99.5325909282474,100.63130506252642,6820300
2021-01-20,101.66697692871094,102.24335042090306,100.86545732641522,101.4508385868674,2952100
2021-01-21,101.72100830078125,102.25235668568833,99.29844086390837,101.09060195012599,5028100
2021-01-22,101.62194061279297,102.22533738396298,100.63129914488147,101.76603741513617,4163900
2021-01-25,103.31502532958984,103.92742288891523,101.77502710045815,101.82005219000543,4689300
2021-01-26,103.32404327392578,103.67527061319008,102.4774918044615,102.89175977203186,4142400
2021-01-27,102.92778778076172,106.07082528710387,102.2163253087288,103.74731597908448,9104900
2021-01-28,108.42134857177734,111.73549923092268,105.5034572224916,106.18790324745457,11296300
2021-01-29,111.30320739746094,112.32087202695055,107.80894287933538,108.29525921299265,10995100
2021-02-01,110.35762023925781,112.41095170287569,110.3215960364505,110.98802661110045,8337100
2021-02-02,108.2862548828125,111.42029128664632,108.27725398682205,111.13210458395345,7277000
2021-02-03,108.26825714111328,108.87164703716124,107.07948601372779,107.83597360801235,4991900
2021-02-04,107.83596801757812,108.85363272925878,106.98041563445554,107.91702418185716,4377900
2021-02-05,111.69947814941406,111.96064844084411,108.10614844219225,108.45737579630871,5803400
2021-02-08,112.12274169921875,113.29350399946323,111.46531215842334,112.57303383455698,3456000
2021-02-09,112.7081298828125,112.82520337177775,111.32122919491266,112.41994317304845,3424500
2021-02-10,112.834228515625,113.65375680641723,112.3569198482198,113.2845207484094,4195400
2021-02-11,114.23014068603516,114.25716399402368,112.75318257807761,113.19447395333083,3697400
2021-02-12,115.48192596435547,115.76110491080667,113.69877282050568,113.84286961281161,3658700
2021-02-16,115.29281616210938,115.7250928167483,114.23912721573575,115.71609192000707,5174000
2021-02-17,114.5903549194336,115.27480097407295,113.82485956839786,114.70743528655757,3161800
2021-02-18,112.9422836303711,114.06801403795754,111.7354970605636,112.99631649124304,5427900
2021-02-19,110.80789184570312,112.92426355263079,110.47467318493585,112.79818230172704,6204200
2021-02-22,110.36661529541016,110.72684354016312,108.5474310532064,110.72684354016312,4842000
2021-02-23,108.79061126708984,110.93399992166131,108.25926283472715,110.09645605475177,5565900
2021-02-24,110.2135009765625,110.69081641334041,108.66450179687772,108.79058304556237,4127400
2021-02-25,109.49304962158203,110.55573945561929,108.76357160787562,109.56509802037759,3468900
2021-02-26,107.87199401855469,110.19550332665041,107.7639282922613,110.0424056337925,5197500
2021-03-01,110.06041717529297,110.72684769820792,108.61948352943081,108.96170312316258,3858600
2021-03-02,110.3486099243164,110.86194277837471,109.14183007723385,110.06042317942251,4908100
2021-03-03,107.33164978027344,109.77223269598642,107.22357717802613,109.59211856315467,5239500
2021-03-04,104.47679901123047,107.89901563630762,103.33305296628606,107.16954446511146,6699600
2021-03-05,105.59351348876953,105.8907079689298,103.38708461199634,105.36836740457173,4859500
2021-03-08,104.13457489013672,106.52112499746586,104.07153425504112,105.36837802948102,3931600
2021-03-09,105.09819793701172,107.47574023060679,104.90907603535231,105.13422213793453,5176100
2021-03-10,104.35970306396484,107.34964257497988,103.85537806986268,105.58449822470958,7640200
2021-03-11,105.83667755126953,106.1518875936189,104.32369545746504,105.08919770784058,4915700
2021-03-12,105.1072006225586,105.61152566926393,104.57585914419596,105.44942020840672,3714000
2021-03-15,106.35902404785156,106.46709665728791,104.95411447975009,105.53949575676377,4651800
2021-03-16,106.46708679199219,107.56580083792123,105.8456813694128,106.67421735224293,3870500
2021-03-17,105.92674255371094,106.46709183458776,105.29632933359308,105.97176765241757,3797200
