Price,Close,High,Low,Open,Volume
Ticker,DE,DE,DE,DE,DE
Date,,,,,
2021-01-04,249.35726928710938,255.04987569594988,245.8261598505106,253.24239667666038,2800000
2021-01-05,255.54368591308594,255.99090691815735,249.18026185306883,249.366582613844,1829200
2021-01-06,270.52520751953125,272.83580650208324,255.88838112153667,256.21447796188477,2778300
2021-01-07,279.2552795410156,280.0285692476106,273.44151823732057,273.69309257728275,2227300
2021-01-08,273.8327941894531,279.95399945984025,270.55325822565493,277.2241283153388,1781000
2021-01-11,274.7738037109375,275.01602357944176,269.25819088882906,269.7054119607511,1303700
2021-01-12,281.4539489746094,282.8235330508117,273.8234131833242,275.8917640650809,1952300
2021-01-13,280.6434020996094,283.2334967549872,280.0750569427254,281.0253980565225,1203800
2021-01-14,282.1620788574219,285.4229910452969,281.3235642671193,282.2086519440895,1370800
2021-01-15,275.2209167480469,280.5595047955004,272.994194889214,279.65576535499724,1766300
2021-01-19,274.8389892578125,279.29246251672464,274.2892960392635,277.87630516213557,1509600
2021-01-20,280.382568359375,281.54717993512406,275.78934712851657,276.59058624484004,1327500
2021-01-21,284.6310729980469,285.2366653391222,279.5067819948087,281.3701605414408,1931000
2021-01-22,284.3236389160156,285.9913423073077,280.72730339844514,282.19938842897596,1429900
2021-01-25,277.8296813964844,284.6309999735965,276.1340005301942,282.4322275004761,1539600
2021-01-26,275.7893371582031,281.5192202171624,275.2209919446764,280.38255822300783,1364200
2021-01-27,261.5530700683594,270.78611171255903,259.8946647421625,269.994170355202,1769900
2021-01-28,272.94769287109375,276.9725975226647,263.4258269655289,267.6557044030475,1504200
2021-01-29,269.07183837890625,272.9383714315656,265.9972752916024,272.1464298991089,1734300
2021-02-01,272.2489013671875,273.93525659532554,269.8637792180122,272.1650527486109,1163400
2021-02-02,281.8731689453125,283.43839947996116,275.5190437968618,275.9942142363722,1637100
2021-02-03,280.56884765625,281.67753144176925,279.00358847956136,281.6123348187806,1185300
2021-02-04,288.1435241699219,288.41372201368836,281.3235804675464,282.16209510613606,1459000
2021-02-05,288.1155700683594,291.63735424099957,286.03792127038776,290.7056650055614,1228100
2021-02-08,295.3826904296875,295.52243809401205,290.68696987813854,290.68696987813854,962300
2021-02-09,293.7895202636719,296.52868857501426,291.7770967678531,294.4323880367152,1066500
2021-02-10,292.2149353027344,296.090736305527,290.099983193694,295.8578140685236,1070000
2021-02-11,292.9788818359375,294.2459935177009,287.9384415041837,293.1931805175363,995400
2021-02-12,291.61865234375,294.218072573455,290.9478351371452,292.59691440497346,1721600
2021-02-16,295.4293518066406,299.69650465202415,294.4790389723061,295.16847994429975,3099600
2021-02-17,290.76153564453125,295.81130331714394,290.1186962932247,292.6994649871096,1999600
2021-02-18,279.7396545410156,290.18388147540793,278.14647412832073,289.60623877799196,3110900
2021-02-19,307.45745849609375,312.3115516220474,294.2926845875879,298.14056581439394,4870100
2021-02-22,314.4544982910156,315.4234347947038,306.07859125600845,306.9916571032688,2312500
2021-02-23,314.3612365722656,315.6283201566204,305.59403834084446,308.8735738823182,2222700
2021-02-24,322.0476379394531,322.91410192534465,315.1065431975812,316.2432049670891,1941300
2021-02-25,324.2557678222656,328.9048874974318,318.9265048441636,322.09424220980003,2883000
2021-02-26,325.2713623046875,330.200006639231,320.55701674395925,322.5508454841768,2537800
2021-03-01,334.95159912109375,338.49200676850614,330.13475336420896,330.80557073700163,2098800
2021-03-02,327.43280029296875,335.2869321194687,326.06321625932094,335.2869321194687,1882000
2021-03-03,319.625244140625,327.3675778938335,319.3923218774529,326.03526937238365,1929100
2021-03-04,314.8643798828125,320.05386717334756,308.18415573684615,317.39857567124915,2499400
2021-03-05,325.932861328125,327.80556595424,311.3146820994131,319.8489312240779,1979700
2021-03-08,329.5385437011719,335.3243267655652,325.3645650603804,330.2186587486697,1764200
2021-03-09,328.59747314453125,332.9764238499329,327.83348116054225,330.48880112305613,1456800
2021-03-10,336.5447998046875,336.9826948996295,327.0322603034283,327.22790708924066,1403200
2021-03-11,339.5633850097656,341.7621859645775,336.13477611140473,340.0665050606546,1675700
2021-03-12,344.249755859375,345.4330190738727,338.51987425674093,338.71552098345563,1941500
2021-03-15,348.7965087890625,349.13193171264805,341.054173200507,343.8771905620428,2004400
2021-03-16,348.0045166015625,350.84618553229524,345.6566702095665,350.84618553229524,2047000
2021-03-17,353.35235595703125,354.7778388957941,346.80258385589485,350.38956352324436,1753000
2021-03-18,354.4239196777344,365.6135169425885,353.23135854586656,354.9736129367383,2753100
2021-03-19,347.03558349609375,353.8928019659889,346.50451385873663,351.7126527753028,3042100
2021-03-22,346.2063293457031,348.19083156383175,343.4764872635992,348.19083156383175,1398500
2021-03-23,333.069580078125,346.15050507768814,331.5881975861571,342.1814997837631,2911200
2021-03-24,336.255859375,342.86153055998335,336.1626847942481,336.8148784266215,1860600
2021-03-25,341.7435607910156,342.6659523621419,329.3148312349422,332.86456453813355,1970600
2021-03-26,346.8585510253906,347.4268677417501,342.61005090572576,345.6846136337032,1586100
2021-03-29,342.8337097167969,347.04493507836344,342.39581461249344,345.18155649543826,1413400
2021-03-30,349.2313537597656,350.52956199225554,342.2545711720173,342.7682451519925,1278200
2021-03-31,349.4369201660156,354.4430053214484,344.00118660346243,350.2121057656211,2053300
2021-04-01,347.5501708984375,351.1739921867389,344.9070387643487,350.8284265952699,1561900
2021-04-05,350.0625915527344,352.9859330537272,349.2220211361576,350.80043856958434,1419500
2021-04-06,350.80975341796875,356.6284182648561,350.25871250349684,350.97789030073244,1309700
2021-04-07,350.0439758300781,353.8639244589224,347.8211140870207,350.94058251125165,1299300
2021-04-08,349.3714599609375,349.80107977296086,344.29064204468614,347.70898833777784,1250700
2021-04-09,352.1080322265625,353.11671113051887,347.9238204155562,350.83784186583136,1224500
2021-04-12,353.2847595214844,354.11598096052415,350.98716461694784,352.8831293292027,1165100
2021-04-13,353.6678466796875,359.0194979381419,351.76253228006084,358.2162942075111,985100
2021-04-14,356.3109436035156,357.69323485143735,352.90194551857877,352.90194551857877,1077100
2021-04-15,356.90863037109375,360.46706696037876,353.67706168951844,358.90731874677607,1127000
2021-04-16,357.7772521972656,360.5698239718706,355.67581172410814,360.5698239718706,1092000
2021-04-19,355.5824279785156,358.34698183704063,353.54637238347397,357.5437782271591,1145100
2021-04-20,345.82244873046875,355.60115499288975,342.4227991157997,353.3689725609232,1807400
2021-04-21,350.8004455566406,351.0152412158414,343.095164329769,346.2333015481882,1819900
2021-04-22,344.0384826660156,352.3321723376391,341.46073505376756,351.0526331365307,1880200
2021-04-23,351.4263000488281,352.75255534289624,344.5335975709399,344.5335975709399,1301300
2021-04-26,355.3302307128906,358.45901914669406,352.12667993475657,352.12667993475657,1235700
2021-04-27,357.11407470703125,358.17881812142093,353.53696893421505,356.31087122117884,925700
2021-04-28,354.7231750488281,359.1222113900328,354.4896816401592,356.01206322509887,891000
2021-04-29,351.538330078125,357.56244257819407,347.50355736477445,357.56244257819407,1104500
2021-04-30,346.3641357421875,348.8671782975738,344.27201537269707,347.95187385450834,1196700
2021-05-03,349.09124755859375,352.8084721655789,347.3260525523047,351.6410053483533,924600
2021-05-04,354.5177001953125,355.843955299521,343.5902257561866,347.2981022310394,1692300
2021-05-05,353.8451843261719,358.0293958410658,351.03394349044527,357.3943007056453,1460800
2021-05-06,364.16571044921875,365.1837384224609,353.62113876825686,354.7605878901401,2010900
2021-05-07,368.1910705566406,370.69411294242616,358.95405805105133,362.20429641196006,1597200
2021-05-10,365.5572509765625,373.9069770040712,365.4451787081575,371.7214822623397,1601300
2021-05-11,357.8986511230469,363.48379432589076,352.58433970917895,360.71924078893556,1588500
2021-05-12,348.9605407714844,362.8767409150992,347.8304407608459,359.3743401154003,1631600
2021-05-13,353.14471435546875,354.76049880779055,342.27327739203463,344.14122443409497,1483400
2021-05-14,358.6459045410156,361.17696531368466,355.4984176996028,356.6004998364709,1143600
2021-05-17,358.2256164550781,360.18696700893963,353.77057197772336,356.76861970137907,1170200
2021-05-18,345.28070068359375,360.81268613191315,345.28070068359375,359.7946583334766,1664800
2021-05-19,334.7548522949219,338.26657388037313,327.8434243977524,337.93035704348904,2800600
2021-05-20,331.7660827636719,335.29650161269274,327.3857445710298,334.3064919382792,2947000
2021-05-21,335.9969177246094,344.0664612714349,328.917412166096,334.1756582636285,3614400
2021-05-24,335.6326904296875,338.5560319331904,332.7840827647847,337.66877424372296,1914700
2021-05-25,336.87493896484375,343.515477557919,336.5760605731922,337.89296676520803,1682300
