Price,Close,High,Low,Open,Volume
Ticker,LLY,LLY,LLY,LLY,LLY
Date,,,,,
2021-01-04,156.30087280273438,160.05964504421783,154.03427980731598,159.6252216852419,3164800
2021-01-05,157.07534790039062,157.396446028741,154.12875883306327,156.00815272073368,2322600
2021-01-06,155.1864776611328,157.98194155686087,153.91151002062966,153.92094899484275,3619700
2021-01-07,156.61256408691406,157.830854830238,152.78767501079975,155.05426847260463,3025500
2021-01-08,157.1603240966797,157.58530856078593,155.48870316650238,156.98088268923163,3438100
2021-01-11,175.60472106933594,178.77795954533045,171.90261191578318,174.7169676845867,11396500
2021-01-12,168.8616485595703,173.9992758791741,167.57724172966937,172.62986062452265,7179300
2021-01-13,175.18919372558594,177.1913513281857,169.37158685274713,169.8343559485343,7303900
2021-01-14,176.3130645751953,178.4568934071757,174.32034579539146,174.97199528608598,4413200
2021-01-15,180.16627502441406,181.12013015895533,176.41694171331912,176.41694171331912,6624600
2021-01-19,187.44772338867188,188.4299243068842,183.28285889770524,185.10557524705777,7729100
2021-01-20,190.07318115234375,190.55484259136267,187.6365858587332,187.72159426074293,5335800
2021-01-21,191.10263061523438,193.34089247724833,187.00385320970355,192.37758388408554,8698800
2021-01-22,194.6819610595703,195.05972178727967,189.41211676733118,190.8098487526334,6128800
2021-01-25,200.54678344726562,200.71677144413152,196.5235612603373,196.6652323350396,5959100
2021-01-26,200.89622497558594,201.3778720731493,198.89406714573636,200.73567594306482,6601500
2021-01-27,196.0325164794922,200.23516652193015,193.699806849408,199.33797383589405,7358000
2021-01-28,198.44070434570312,200.06510117438876,196.03245484318697,196.43854684503543,5460400
2021-01-29,196.41021728515625,205.88270960639704,193.095321965106,200.17844270844535,8401700
2021-02-01,191.84872436523438,198.22353431579165,191.81095405436105,197.81744222864543,5383800
2021-02-02,186.57884216308594,194.45526896809488,186.3805228523105,193.01976687366204,5314600
2021-02-03,186.01220703125,189.44042777885622,185.94609098513715,186.8149520941786,3679000
2021-02-04,190.41322326660156,190.65878074479053,184.76561742800706,185.8705828479071,2924300
2021-02-05,190.5548553466797,191.64092818185804,189.68599419640753,190.41318427427782,2732200
2021-02-08,194.33253479003906,194.95583855971506,190.68708750751156,191.1309642955623,2909300
2021-02-09,190.49818420410156,193.55808324700325,189.1854463578902,192.42478677146016,2661300
2021-02-10,193.0292205810547,194.1247467977815,190.4320761112515,193.10477560399934,3062700
2021-02-11,192.11878967285156,193.63615714149668,191.20835761500317,192.39380773308216,3544700
2021-02-12,196.5855712890625,197.46755376309588,190.7626404828349,191.2368205630516,2611300
2021-02-16,195.13458251953125,196.7752560254791,193.09561395124584,195.34322291368846,2741900
2021-02-17,195.7984619140625,196.01658071787213,193.7215506689241,194.42332798661474,3329900
2021-02-18,190.7342071533203,194.81215908622482,190.57298764875335,194.69836048790202,3919400
2021-02-19,190.54452514648438,192.40331746174067,189.98499611470027,190.74368715094423,3434900
2021-02-22,190.31690979003906,191.1988922628688,187.7373834703421,188.8943695513304,2263600
2021-02-23,192.0239715576172,193.7594724810254,188.42019986003436,189.9660316353231,3287700
2021-02-24,193.9586181640625,195.79843913467417,191.21785796260835,191.25578600070787,2848800
2021-02-25,193.29478454589844,194.9354436539518,191.33167196928656,193.0576944938919,2386700
2021-02-26,194.3095245361328,196.30108678276588,191.62566338201734,196.02605421581265,3887900
2021-03-01,195.80792236328125,197.48652388948668,194.2051913859762,195.1535515409896,2797400
2021-03-02,193.59825134277344,199.10822180918154,193.560323301802,198.1029623089125,3445300
2021-03-03,191.5687255859375,193.7594349344842,189.39698748977506,192.86797419315812,3660300
2021-03-04,190.1841278076172,194.16725179843075,188.35379976330123,193.2662981280921,4308400
2021-03-05,196.23472595214844,196.94599622938838,190.50663568660846,190.63940555952667,3875900
2021-03-08,196.33897399902344,199.9996442590854,195.66564648774465,196.31052435605818,3300300
2021-03-09,195.46653747558594,201.20412005159818,195.4191165675205,197.58137684367392,4227300
2021-03-10,194.84059143066406,197.29684076516753,193.83533197921955,196.20623237256135,3400200
2021-03-11,194.6129913330078,196.54763965777067,193.7215304831601,195.84584794237776,4037300
2021-03-12,197.3347930908203,197.69517459919894,191.83430101049998,194.3095217231027,4541400
2021-03-15,179.39181518554688,183.20421269150552,178.48138304525907,183.04299319734758,12388500
2021-03-16,181.0419158935547,181.72473624247766,177.56143647461883,181.64886570695012,6194200
2021-03-17,177.08731079101562,180.02723344333728,176.92609128013507,179.93239162713485,5134200
2021-03-18,174.43186950683594,177.4286909518398,174.30859253169427,176.413953150706,4240000
2021-03-19,174.77328491210938,176.20531799367717,174.38446825013844,175.16211604490775,6048600
2021-03-22,176.2432403564453,176.30963251051404,173.73957023085669,174.54568211720203,2666600
2021-03-23,174.19479370117188,177.0209175017479,173.7870057632502,175.77856796141953,3284700
2021-03-24,170.8660430908203,174.3465230356013,170.53412572741797,174.21375319607495,3931500
2021-03-25,173.63526916503906,174.15687018007932,170.91347996495884,171.65319977871465,2630500
2021-03-26,175.7406005859375,176.3096224108594,173.19900256849223,174.54567211859285,2868200
2021-03-29,176.71746826171875,177.97878929309437,174.03360667221244,175.12422978261117,3002600
2021-03-30,175.92079162597656,177.21056189004588,175.1715935436278,175.94924127019067,2523600
2021-03-31,177.17271423339844,178.2348733548029,175.69325970894306,175.9872636172479,3621300
2021-04-01,175.6742401123047,178.358101084255,175.124189486561,177.17265089191798,2340400
2021-04-05,175.34230041503906,176.3001389180397,173.64474218282473,176.00614959884282,2864800
2021-04-06,173.36024475097656,176.04410581162676,173.06625540889323,175.15264492219472,2488400
2021-04-07,172.905029296875,173.7206051329508,171.8618273447333,173.45506544891973,3406600
2021-04-08,173.18006896972656,174.46983951193312,173.04729911115365,173.50250798757088,2393200
2021-04-09,174.9630126953125,175.57944115743146,172.9904213573683,173.10421997293952,2611200
2021-04-12,172.4308624267578,174.44138146576162,171.53940150317578,173.95770849144495,2876100
2021-04-13,173.1042022705078,174.15688276938303,171.82391009293565,171.82391009293565,3089100
2021-04-14,173.54991149902344,174.9440021097146,172.64897222966948,173.16108035545318,2002100
2021-04-15,176.319091796875,178.02614271363083,173.9387133748706,174.29908033947848,2586600
2021-04-16,179.47718811035156,180.47296932692635,177.22957881329435,177.70375896682236,3731800
2021-04-19,179.84701538085938,181.02298715748447,178.35809749408483,179.46767711527826,2966400
2021-04-20,180.76695251464844,183.50771312932298,180.34967167850488,180.5772833539003,2460900
2021-04-21,181.08937072753906,183.04299035334677,179.99876232542783,181.6678710073894,2219800
2021-04-22,177.39077758789062,181.39285877339714,177.10626663487378,180.18843727242847,2982600
2021-04-23,178.97454833984375,179.3633795170855,177.37181719482754,177.37181719482754,2482800
2021-04-26,177.55198669433594,178.90813474950022,176.4518854581575,178.8322786725745,2797500
2021-04-27,172.8007049560547,176.27169201999735,171.45402084256966,174.49826321472972,6838700
2021-04-28,171.22640991210938,172.60152909036745,169.35813945604758,172.07992816873136,4682800
2021-04-29,172.7912139892578,173.19901637281396,170.7048245829648,171.7100840123988,2432500
2021-04-30,173.33181762695312,174.45087584492393,171.833406603105,172.44983501526454,3103900
2021-05-03,176.319091796875,176.72689412710088,173.47401175922374,173.54040390609845,3197000
2021-05-04,178.48141479492188,180.26433688178045,177.13474483578656,177.8460150975656,3703500
2021-05-05,182.85333251953125,183.5740955512806,178.45294165791125,178.90815051371231,4274400
2021-05-06,183.87754821777344,184.07671021569354,179.5435498732938,181.65838894806194,3101600
2021-05-07,185.32855224609375,186.1346642205126,183.88704066149367,184.75954479723504,2526700
2021-05-10,184.70263671875,186.45710896614537,183.50770801558878,186.03982814162998,2242000
2021-05-11,184.6931610107422,185.64152127267153,183.0430089454866,183.4033904756851,1850200
2021-05-12,183.22317504882812,185.54665448364992,182.77744462805012,184.69313615112836,2397400
2021-05-13,185.69029235839844,186.80477527277895,182.65165237404335,183.1279278691517,2174300
2021-05-14,186.9000701904297,187.90977209820122,185.6712710500079,186.42379460866746,1823700
2021-05-17,186.2522735595703,190.13868291826358,185.8331488442054,187.157193994232,2466000
2021-05-18,185.39501953125,187.03340853554576,184.39483800011496,185.7474587762613,2369400
2021-05-19,187.185791015625,188.02404054334121,183.94712344271647,184.423398940778,3070500
2021-05-20,190.0625,191.53895695798644,186.86192805637302,187.80495877955076,3494400
2021-05-21,190.3958740234375,192.3390714180089,190.0053246753629,190.51017547759673,2579000
2021-05-24,191.48179626464844,193.95842001670596,190.54828586750978,191.46274117588922,2074900
2021-05-25,189.7672119140625,192.27242570220415,189.6910060896762,191.87234149048226,2919100
2021-05-26,191.45323181152344,192.83442786242486,188.84323682415862,189.7767327397315,2891300
2021-05-27,189.74815368652344,191.82472239608103,186.22371794189266,191.12934971059536,9340300
2021-05-28,190.26254272460938,192.68201587887242,189.10994961475237,189.67195121862795,2386000
2021-06-01,189.00514221191406,191.3579440277124,187.34769846269594,190.8149975889443,3070200
2021-06-02,189.68148803710938,191.38654795658218,188.8432384938021,189.5671720318016,2030300
2021-06-03,193.08206176757812,193.97746192636362,189.18613213052237,189.5481061184841,3066600
